Num steps: 1155000   Return: 378.9   Time: 1:26:38
Num steps: 1160000   Return: 395.3   Time: 1:27:00
Num steps: 1165000   Return: 398.3   Time: 1:27:22
Num steps: 1170000   Return: 398.7   Time: 1:27:44
Num steps: 1175000   Return: 415.7   Time: 1:28:05
Num steps: 1180000   Return: 366.9   Time: 1:28:27
Num steps: 1185000   Return: 399.0   Time: 1:28:49
Num steps: 1190000   Return: 384.0   Time: 1:29:15
Num steps: 1195000   Return: 382.5   Time: 1:29:37
Num steps: 1200000   Return: 449.2   Time: 1:30:02
Num steps: 1205000   Return: 440.9   Time: 1:30:23
Num steps: 1210000   Return: 432.0   Time: 1:30:45
Num steps: 1215000   Return: 418.4   Time: 1:31:07
Num steps: 1220000   Return: 431.1   Time: 1:31:28
Num steps: 1225000   Return: 448.4   Time: 1:31:50
Num steps: 1230000   Return: 450.6   Time: 1:32:12
Num steps: 1235000   Return: 437.7   Time: 1:32:39
Num steps: 1240000   Return: 441.3   Time: 1:33:01
Num steps: 1245000   Return: 447.4   Time: 1:33:22
Num steps: 1250000   Return: 467.9   Time: 1:33:48
Num steps: 1255000   Return: 490.1   Time: 1:34:09
Num steps: 1260000   Return: 487.8   Time: 1:34:31
Num steps: 1265000   Return: 482.6   Time: 1:34:52
Num steps: 1270000   Return: 475.2   Time: 1:35:13
Num steps: 1275000   Return: 494.7   Time: 1:35:35
Num steps: 1280000   Return: 486.4   Time: 1:36:02
Num steps: 1285000   Return: 485.2   Time: 1:36:24
Num steps: 1290000   Return: 484.8   Time: 1:36:45
Num steps: 1295000   Return: 477.8   Time: 1:37:06
Num steps: 1300000   Return: 515.3   Time: 1:37:32
Num steps: 1305000   Return: 516.6   Time: 1:37:53
Num steps: 1310000   Return: 541.9   Time: 1:38:15
Num steps: 1315000   Return: 523.2   Time: 1:38:36
Num steps: 1320000   Return: 519.3   Time: 1:38:58
Num steps: 1325000   Return: 507.6   Time: 1:39:24
Num steps: 1330000   Return: 532.0   Time: 1:39:46
